,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
173,ABB Group,4.2,(1.2k),Public,Zurich + 70 more,32 years old,10000+ employees,"Manufacturing, Electronics, MNC, Fortune500, Forbes Global 2000, Public","ABB (ABBN: SIX Swiss Ex) is a pioneering technology leader with a comprehensive offering for digital industries. With a history of innovation spanning more than 130 years, ABB is today a leader in digital industries with four customer-focused, globally leading businesses: Electrification, Industrial Automation, Motion, and Robotics & Discrete Automation, supported by its common ABB Ability™ digital platform. ABB's market-leading Power Grids business will be divested to Hitachi in 2020. ABB operates in more than 100 countries with about 147,000 employees."
174,TAFE - Tractors an...,4.2,(1.2k),Public,Chennai + 94 more,60 years old,5001-10000 employees,"Automobile, Manufacturing, Urban Transport, MNC, Fortune500, Public, Chennai","TAFE – Tractors and Farm Equipment Limited, is an Indian tractor major incorporated in 1960 at Chennai, with an annual turnover of INR 93 billion (2014-15). The third-largest tractor manufacturer in the world and the second largest in India by volumes, TAFE wields about 25% market share of the Indian tractor industry with a sale of over 150,000 tractors (domestic and international) annually. 

TAFE's partnership with AGCO Corporation and the Massey Ferguson brand for over 58 years is a stellar example of its commitment to building long-term relationships with its stakeholders, through fair and ethical business practices. TAFE is also a significant shareholder in AGCO Corporation, USA – a US $9.4 billion tractor and agricultural equipment manufacturer. 

TAFE has earned the trust of customers through its range of products that are widely acclaimed for quality and low cost of operation. A strong distribution network of over 1000 dealers effectively backs TAFE’s four iconic tractor brands – Massey Ferguson, TAFE, Eicher and the recently acquired Serbian tractor and agricultural equipment brand IMT – Industrija Mašina i Traktora. TAFE exports tractors, both in partnership with AGCO and independently, powering farms in over 100 countries which include developed countries in Europe and the Americas. 

Besides tractors, TAFE and its subsidiaries have diverse business interests in areas such as farm-machinery, Diesel engines and gensets, agro engines, engineering plastics, gears and transmission components, batteries, hydraulic pumps and cylinders, vehicle franchises and plantations."
175,Rivigo,3.7,(1.2k),Private,"Gurgaon,Haryana + 121 more",6 years old,1001-5000 employees,"Internet, Courier / Logistics, Startup","We are a technology company that is building the material movement pipeline of India through a globally unique innovation of relay trucking, enabled by a strong interplay of technology, data, culture and operational excellence. Our goal is making logistics human, faster, safer and cost-effective.

Rivigo is solving a real and fundamental problem of truck driver shortage using a breakthrough relay model.

We have been transforming the sector with our global-first driver relay model and cutting-edge technology to consistently provide unparalleled delivery times and reliability to our clients.

We are solving the full range of challenges of the logistics industry using technology — be it complex problems like fuel analytics, route planning, human behaviour analysis or pure-drudgery elimination tasks like auto-alert systems and intelligent decision systems. Our technology obsession has resulted in simple, intuitive technology products gaining quick and easy adoption by the trucking ecosystem stakeholders.

We are contributing to building the new India by defining the next-generation trucking industry.

With accurate predictions, high levels of efficiency, simple automated operations, and a strong and pure mission, we are re-imagining logistics for India and the world."
176,HCL Infosystems,3.9,(1.2k),Public,Noida + 90 more,44 years old,10000+ employees,"Computer Software, IT / ITES, Public, Noida","HCL Infosystems handles IT from A to Z. The company manufactures and distributes a wide array of technology products, including PCs, servers, data storage and networking equipment, printing and imaging systems, and software. It sells both its own lines and third-party products. HCL also provides services that include system integration, facilities management, and managed services. It markets to consumers through its Digilife stores and other retailers. The company sells to enterprise clients in such industries as government, financial services, and education. HCL Infosystems' sister company, HCL Technologies, provides offshore IT services."
177,Delhivery,4.1,(1.2k),Private,"Gurgaon,Haryana + 215 more",9 years old,,"Logistics / Shipping, Urban Transport, Courier / Logistics, Ports & Shipping, Startup","Delhivery is India's largest  e-commerce enablement company. Our mission is to fulfill all of India's online consumption demand through best-in-class industry solutions,domain expertise and pan-India operations. Delhivery offers extensive services ranging from last mile deliveries, third party fulfillment,warehousing services and software solutions such as channel integration software for sellers selling across multiple platforms.  Delhivery's flexible set of services makes it easier for sellers and consumers to connect faster. Five years into the industry, Delhivery handles over 250,000 shipments per day for over 100,000+ merchants, 25000+ clients and 1800+ retailers across 450+ cities. We provide a modular set of e-commerce technologies and logistics solutions to over 6600+ pin codes."
178,Dewan Housing Fina...,4.4,(1.2k),Public,Mumbai + 168 more,36 years old,1001-5000 employees,"Financial Services, Fortune500, Public, Mumbai","For over three decades, DHFL has been providing easy access to affordable Housing Finance to realise home-ownership aspirations of millions of Lower and Middle income families in semi-urban and rural India. DHFL was established in 1984 with this goal, by a visionary leader Late Shri Rajesh Kumar Wadhawan. He observed that most Indians were unable to buy their dream home and committed himself to transforming the lives of Indian households by enabling access to home ownership through the inception of DHFL.

Led by Chairman & Managing Director, Mr. Kapil Wadhawan, DHFL has strengthened its position as one of India’s leading housing finance companies and has been benchmarked as a model and a pioneer for expanding financial inclusion across India.

Home ownership is all about ‘trust’. DHFL is your ‘trusted partner’ bringing confidence and transparency to every relationship -- helping you make the right decisions and hand holding you through the entire home purchase process. Our purpose-driven team is enthusiastic and committed towards fulfilling your dream. DHFL is rated CARE AA+ and achieved BWR FAA+ from Brickwork Ratings, which indicate the high degree of safety regarding timely servicing of financial obligations."
179,Bel,4.4,(1.2k),Private,Bangalore + 20 more,66 years old,10000+ employees,"Airlines / Aviation / Aerospace, Consumer goods, Defence & Aerospace, Manufacturing, Electronics, MNC, Government, Fortune500","In 1954, in a newly independent India, the need was utmost to develop indigenous industry. The dream of a self-reliant India gave birth to many Public Sector Undertakings. Bharat Electronics Limited (BEL) was one such dream, which has come a long way since then with the far-sighted vision of its pioneers, the dedication and hard work of its employees, support and faith of its customers and the Government of India. The Government’s clarion call for ‘Make in India’ resonates with what BEL has been successfully doing for over 6 decades.

From humble beginnings in 1954, when BEL was set up in association with CSF, France (now, Thales), to manufacture basic communication equipment, BEL now produces a wide range of state-of-the-art equipment in fields such as Defence Communication, Radars, Naval Systems, C4I Systems, Weapon Systems, Homeland Security, Telecom & Broadcast Systems, Electronic Warfare, Tank Electronics, Electro Optics, Professional Electronic Components and Solar Photovoltaic Systems, BEL also provides turnkey system solutions. Civilian products from BEL include Electronic Voting Machines, Tablet PC, solar-powered traffic signal systems and Access Control Systems.

Starting from a single Unit in Jalahalli, Bangalore, BEL has established its presence across the country by setting up eight other Units – in Ghaziabad, Pune, Machilipatnam, Panchkula, Kotdwara, Navi Mumbai, Chennai and Hyderabad. Each Unit has a specific product mix and customer focus. BEL has also set up a wide network of offices and service centres countrywide as well as two overseas offices – at New York and Singapore.

BEL was established to meet the specialized electronic equipment requirements of the Indian Defence Services. While this continues to be its prime focus, the Company has a significant presence in the civilian market, too. BEL exports some of its products and services to a number of countries as well."
180,VE Commercial Vehi...,4.1,(1.2k),Private,Gurugram + 66 more,12 years old,10000+ employees,"Automobile, Manufacturing","VE Commercial Vehicles Limited is a joint venture between the Volvo Group (Volvo) and Eicher Motors Limited (EML).  It is a partnership that brings together Global leadership in technology, quality, safety and environmental care, along with the deep knowledge and understanding of the Indian Commercial Vehicle (CV) market. VE Commercial Vehicles Limited. (VECV) owes its inception to the compelling intent of driving modernization in commercial transportation, in India and other developing markets."
181,Fortis Healthcare,4.1,(1.2k),Public,Gurugram + 42 more,19 years old,10000+ employees,"Healthcare / Pharma, Fortune500, Public","Fortis Healthcare Limited is a leading integrated healthcare delivery service provider in India. The healthcare verticals of the company primarily comprise hospitals, diagnostics and day care specialty facilities. Currently, the company operates its healthcare delivery services in India, Dubai and Sri Lanka with 43 healthcare facilities (including projects under development), approximately 9,000 potential beds and over 400 diagnostics centres.

In a global study of the 30 most technologically advanced hospitals in the world, its flagship, the Fortis Memorial Research Institute’ (FMRI), was ranked No.2, by ‘topmastersinhealthcare.com, and placed ahead of many other outstanding medical institutions in the world."
182,Torrent Pharmaceut...,4.2,(1.1k),Public,Ahmedabad + 73 more,61 years old,10000+ employees,"Healthcare / Pharma, Fortune500, Public, Ahmedabad","Torrent Pharma, the flagship Company of Torrent Group is one of the leading pharma companies of the Country. The Company was a pioneer in initiating the concept of niche marketing in India and today is ranked amongst the leaders in therapeutic segment of Cardiovascular (CV) and Central Nervous System (CNS). It has also achieved significant presence in Gastro-intestinal, Diabetology, Anti-infective, Pain Management, Gynaecology and Paediatric segments. Recently we have also forayed into the therapeutic segment of Oncology and Rheumatology.

Torrent Pharma's competitive advantage stems from the world-class manufacturing facilities, advanced R & D capabilities, extensive domestic network and a widespread global presence in over 40 countries.

The acquisition of Elder Pharma's Indian branded business in 2013, Dermaceutical business of Zyg Pharma in 2015, API plant of Glochem Industries in 2016, women healthcare brands from Novartis and Unichem's Indian branded business along with its Sikkim Plant in 2017 strengthened Torrent Pharma's position in the Indian Pharma market.

Torrent Pharma started international acquisitions in 2005 with 90 year old Heumann from Pfizer to enter the German market. Later on purchased ANDA of Monocycline from Ranbaxy for the US Market in 2015.

In January 2018, Torrent also acquired Bio-Pharm, Inc. (BPI) a generic pharmaceuticals and OTC Company, based in Levittown Pennsylvania, USA, which also included a US FDA registered manufacturing facility.

Torrent Pharma is committed towards “not just healthcare but lifecare.”"
183,Alkem Laboratories,4.1,(1.1k),Public,Mumbai + 87 more,47 years old,10000+ employees,"Biotech & Life sciences, Healthcare / Pharma, MNC, Fortune500, Public, Mumbai","A single idea, which sprouts from a human mind, contains the potential to create marvels that can influence generations. It can redefine rules, it can transform the world. Back in the year 1973, a team of individuals came with such an idea – The idea called Alkem. It was highly potent and resilient, like a spark that could ignite a thousand more ideas. And it did!

Looking back at our 4 decade, illustrious journey, that one small idea has Not only triggered us to become one of India’s largest generic and specialty pharmaceutical company but also, create a foothold in over 50 countries.

32% of our revenue is generated via offshore sales. As well as we have consistently been ranked amongst the top ten pharmaceutical companies in India. Our portfolio includes illustrious brands like Clavam, Pan, Pan-D and Taxim-O, which feature amongst top 50 pharmaceutical brands in India. For over a decade, our dominance in anti-infective segment has remained unchallenged.

We have 21 manufacturing facilities at multiple locations in India and the United States of America. Our upper-crest facilities are inspected and audited as per cGMP guidelines as laid down by leading regulatory authorities such as USFDA, MHRA - UK, SAHPRA-South Africa, TGA - Australia, ANVISA - Brazil, WHO - Geneva, TPD - Health Canada, PPB - Kenya, NDA - Uganda, MOH - Sudan, INVIMA - Colombia, TFDA - Tanzania, Zimbabwe, BfArM-Germany & Other Africa, Asian & CIS Countries."
184,Varun Beverages,4.0,(1.1k),Public,Gurgaon + 114 more,25 years old,1001-5000 employees,"Food Processing, Manufacturing, Fortune500, Public, Gurgaon","We are the second largest franchisee in the world (outside US) of carbonated soft drinks (“CSDs”) and non-carbonated beverages (“NCBs”) sold under trademarks owned by PepsiCo and a key player in the beverage industry. We produce and distribute a wide range of CSDs, as well as a large selection of NCBs, including packaged drinking water. PepsiCo CSD brands sold by us include Pepsi, Diet Pepsi, Seven-Up, Mirinda Orange, Mirinda Lemon, Mountain Dew, Seven-Up Nimbooz Masala Soda, Evervess Soda, Duke’s Soda and Sting. PepsiCo NCB brands sold by us include Tropicana (100%, Essentials & Delight), Tropicana Slice, Tropicana Frutz, Seven-Up Nimbooz, Gatorade and Quaker Oat Milk as well as packaged drinking water under the brand Aquafina. In addition, we have also been granted the franchise for Ole brand of PepsiCo products in Sri Lanka."
185,Life Insurance Cor...,4.4,(1.1k),Private,Mumbai + 261 more,64 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Government, Mumbai","Every day we wake up to the fact that more than 250 million lives are part of our family called LIC.

We are humbled by the magnitude of the responsibility we carry and realise the lives that are associated with us are very valuable indeed.

Though this journey started over six decades ago, we are still conscious of the fact that, while insurance may be a business for us, being part of millions of lives every day for the past 61 years has been a process called TRUST."
186,Kec International,4.3,(1.1k),Public,Mumbai + 122 more,75 years old,5001-10000 employees,"Industrial Equipment / Machinery, Manufacturing, Fortune500, Public, Mumbai","KEC International Limited, headquartered in Mumbai, India, is the flagship company of the RPG Group. An Engineering, Procurement, and Construction (EPC) major, we have delivered several iconic infrastructure projects in more than 100 countries. The Company is delivering projects in key sectors such as Power Transmission & Distribution, Railways, Civil, Solar, Smart Infra, and Cables.

We have robust and integrated capabilities spanning the entire spectrum of ‘concept to commissioning’. Our unmatched expertise across EPC is aided by a strong, customer centric approach, quest for world-class quality, and ‘safety-first’ attitude. We have unrivalled expertise in manufacturing and testing, with a footprint extending across India, Brazil and Mexico. Our vast global presence has enabled a robust and agile supply chain that extends across six continents. Integrity in our actions and respect for people, environment and all our stakeholders are the cornerstones of our corporate responsibility.

Experienced professionals from 29 diverse nationalities are successfully executing complex projects across some of the world’s most difficult terrains and local conditions with unparalleled success."
187,Standard Chartered...,4.0,(1.1k),Private,London + 47 more,51 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, MNC, Fortune500, Forbes Global 2000","We offer banking services that help people and companies to succeed, creating wealth and growth across our markets. Our heritage and values are expressed in our brand promise – Here for good.

With more than 86,000 employees and a presence in 60 markets, our network serves customers in close to 150 markets worldwide. We're listed on the London and Hong Kong Stock Exchanges as well as the Bombay and National Stock Exchanges in India."
188,NIIT Technologies,3.6,(1.1k),Public,Noida + 72 more,16 years old,5001-10000 employees,"Computer Software, IT / ITES, Fortune500, Public, Noida","NIIT Technologies is a leading global IT solutions organization servicing customers across the Americas, Europe, Asia and Australia. Differentiated on the strength of its industry expertise, NIIT Technologies services clients in travel and transportation, banking and financial services, insurance, manufacturing and media verticals, offering a range of services including Application<br/>Development and Maintenance, Infrastructure Management, and Business Process Management. Focused on Digital Services, the Company is helping businesses design agile, scalable and digital operating models. NIIT Technologies adheres to major global benchmarks and standards of quality and Information Security. For further information, please visit www.niit-tech.com."
189,Landmark Group,4.2,(1.1k),Private,Dubai + 80 more,47 years old,10000+ employees,"Retail, Textile & Apparel, MNC, Conglomerate","Landmark Group is one of the one of the largest, most successful retail and hospitality conglomerate in the Middle East, Africa and India. Founded in 1973, the Group encourages entrepreneurship which in turn has pioneered leading homegrown brands that are market leaders in their categories and are known to deliver exceptional value to customers. In the last four years, the Group has doubled its store count and now has over 55,000 employees, operates over 2,200 outlets across 22 countries."
190,Eureka Forbes,4.0,(1.1k),Private,Mumbai + 122 more,38 years old,10000+ employees,"Consumer goods, Manufacturing, Mumbai","Eureka Forbes Limited is India’s leading health and hygiene brand. It is a multi-product, multi-channel organization with a gross group turnover of Rs. 20,351 million for the year ending 31st March 2015. A part of Shapoorji Pallonji Group, Eureka Forbes’ product portfolio encompasses water purification, vacuum cleaning, air purification and home security solutions. It has a base of 15 mn happy customers, a reach of over 1,500 cities and towns in India and a global footprint across 53 countries."
191,Cgi Group,3.9,(1.1k),Private,Montreal + 7 more,44 years old,10000+ employees,"Consulting, IT / ITES, MNC, Forbes Global 2000","CGI is one of the few end-to-end consulting firms with the scale, reach, capabilities and commitment to meet clients’ enterprise digital transformation needs. Our 77,500 consultants and professionals work side-by-side with clients in 10 industries across more than 400 locations worldwide. We draw upon our global capabilities to help clients identify, develop, implement and operate effective strategies to meet evolving customer and citizen expectations.

Founded in 1976, our continuous growth is a testament to our strong client partnerships."
192,Indian Oil Corpora...,4.4,(1.1k),Private,New Delhi + 125 more,61 years old,10000+ employees,"Oil / Gas / Petro Chemicals, Power, Government, Government, Fortune500, Forbes Global 2000, New Delhi","Indian Oil is India's #1 oil refiner. Of India's 20 refineries, the company owns 10, which have a combined capacity of 67.7 million metric tons per year (34% of India's total refining capacity). The group also owns more than 10,900 kilometers of pipeline and operates a chain of some 18,640 gas stations across India. India's largest commercial enterprise, Indian Oil has 71% of India's downstream pipeline throughput capacity, and its network of 35,600 retail outlets represents 49% of the country's petroleum products market share. The group also provides cooking gas to more than 50 million households. The company also has a 63% market share of India aviation fuel sector."
193,Honda Motorcycle &...,4.2,(1.1k),Private,Gurugram + 113 more,21 years old,1001-5000 employees,"Automobile, Manufacturing, Urban Transport, Fortune500","Honda is the world’s largest manufacturer of two wheelers, Recognized over the world as the symbol of Honda Two Wheelers, the ‘Wings’ arrived in India as Honda Motorcycle and Scooter India Pvt. Ltd. (HMSI), a 100% subsidiary of Honda Motor Company Ltd., Japan, in 1999. Since its establishment in 1999 at Manesar, District Gurgaon, Haryana, Honda has lived up to its reputation of offering the highest quality products at the most reasonable price. Despite being one of the youngest players in the Indian two-wheelers market, Honda has become the largest two wheeler manufacturer as well as the second largest two-wheelers company in India."
194,D Mart,4.2,(1.1k),Private,Mumbai + 82 more,20 years old,1001-5000 employees,"Retail, Fortune500, Forbes Global 2000, Mumbai","DMart is a one-stop supermarket chain that aims to offer customers a wide range of basic home and personal products under one roof. Each DMart store stocks home utility products - including food, toiletries, beauty products, garments, kitchenware, bed and bath linen, home appliances and more - available at competitive prices that our customers appreciate. Our core objective is to offer customers good products at great value.

DMart was started by Mr. Radhakishan Damani and his family to address the growing needs of the Indian family. From the launch of its first store in Powai in 2002, DMart today has a well-established presence in 188 locations across Maharashtra, Gujarat, Andhra Pradesh, Madhya Pradesh, Karnataka, Telangana, Chhattisgarh, NCR, Tamil Nadu, Punjab and Rajasthan. With our mission to be the lowest priced retailer in the regions we operate, our business continues to grow with new locations planned in more cities.

The supermarket chain of DMart stores is owned and operated by Avenue Supermarts Ltd. (ASL). The company has its headquarters in Mumbai."
195,Macleods Pharmaceu...,4.1,(1.1k),Public,Mumbai + 55 more,34 years old,5001-10000 employees,"Biotech & Life sciences, Healthcare / Pharma, Public, Mumbai","Consistent growth and sustainability is a multidimensional aspiration for all at Macleods, we remained focused on providing quality and affordable medicines to billions of ailing patients across geographies and bridging the gap of unmet needs of medical fraternity through continuous innovation. Our basic business philosophy, by its very nature, serves a social responsibility hence we have a far better reason than profits alone to drive our performance.

Sustainability, is not a trend we blindly follow, it is intrinsic to how we have operated since the genesis of the organization in the year 1986. Macleods is focused on increasing the momentum in the business through organic growth routes. Growth is well spread across geographies with focus on key therapeutics segments. We continue to evaluate various therapy areas to strengthen its business and competitiveness. Macleods has forayed into high growth potential segments like Cardiovascular, Diabetes, Orthopedics, Gynecology, Respiratory and Oncology. These new growth areas will add significant depth to the existing product pipeline.

Macleods business has witnessed exemplary growth over the past few years growing ahead of the Indian Pharma Market as well as International market. The company has focused on gaining markets while maintaining its dominant position in Anti-TB and Anti-infective segments."
196,Ecom Express,4.1,(1.1k),Private,Gurugram + 260 more,8 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Startup","Ecom Express Private Limited is a leading end-to-end technology enabled logistics solutions provider to the Indian e-commerce industry. Headquartered in New Delhi, Ecom Express was incorporated in 2012 by T.A. Krishnan, Manju Dhawan, K. Satyanarayana and Sanjeev Saxena with their 100+ years of cumulative experience in the Indian logistics and distribution industry.

The company has established its presence in the industry due to a differentiated business model which is built on delivery service capability, scalability, customization and sustainability. Ecom Express uses its cutting-edge technology and automation solutions to enable first-mile pickup, processing, network optimization and last mile delivery. The company’s products include Ecom Express Services (EXS), Ecom Fulfilment Services (EFS) and Ecom Digital Services (EDS).

Ecom Express has its presence in all 29 states of the country and operates in over 2400 towns across 25,000+ PIN-codes in India. The company is the first private logistics company in India to envision a full-state coverage strategy i.e. the capability to reach every doorstep in every village in a state. This full-state coverage is offered in 20 states including Andhra Pradesh, Assam, Bihar, Chhattisgarh, Delhi, Goa, Gujarat, Haryana, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, and West Bengal. Through this deep reach strategy, the company has a capability to deliver to over 1.2 billion people i.e. 92%+ of India’s population."
197,Pfizer,4.4,(1.1k),Public,New York + 75 more,171 years old,10000+ employees,"Healthcare / Pharma, Manufacturing, MNC, Fortune500, Forbes Global 2000, Public","Pfizer is a leading research-based biopharmaceutical company. We apply science and our global resources to deliver innovative therapies that extend and significantly improve lives. We make medicines and vaccines that help people when they are sick and prevent them from getting sick in the first place, as well as some of the world’s best-known consumer healthcare brands. Every day, our colleagues work in developed and emerging markets to treat, cure and eradicate life-threatening conditions and challenge some of the most feared diseases of our time. Pfizer also collaborates with healthcare providers, governments and local communities to support and expand access to reliable, affordable healthcare around the world."
198,Indiamart Intermes...,3.7,(1.1k),Private,Noida + 51 more,24 years old,1001-5000 employees,"Internet, Noida","IndiaMART is India’s largest online B2B marketplace, connecting buyers with suppliers. With 60% market share of the online B2B Classified space in India, the channel focuses on providing a platform to Small & Medium Enterprises (SMEs), Large Enterprises as well as individuals. Founded in 1999, the company’s mission is ‘to make doing business easy."
199,UST Global,3.8,(1.1k),Private,Aliso Viejo + 20 more,21 years old,10000+ employees,IT / ITES,"UST Global® is a leading provider of end-to-end IT services and solutions for Global 1000 companies. We use a client-centric Global Engagement Model that combines local, senior, on-site resources with the cost, scale, and quality advantages of off-shore operations.
This client-centric focus forms the basis for how we, as a company, operate and serve our clients. Commitment to long-term client success empowers every associate to provide value and flexibility beyond the contract.
The industry-leading expertise found within our Centers of Excellence (CoEs) plays a key role in our success with clients. The CoEs deliver pragmatic IT solutions that allow clients to consistently achieve their most critical business objectives. Our Partner Program complements the Centers of Excellence. The program aims to develop strategic relationships with best-of-breed organizations to provide UST Global developers with advance access to new technology and educational resources.
We adopt Six Sigma practices for developing our client-facing processes. Our centers in India are ISO 27001 certified and we were assessed PCMM level 5 in 2004. These certifications and practices provide a qualified foundation for all UST Global service offerings and enable our clients to benefit internally."
200,Wells Fargo,4.1,(1.1k),Private,San Francisco + 6 more,168 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Forbes Global 2000","Wells Fargo & Company (NYSE: WFC): Our vision is to satisfy our customers&rsquo; financial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, with more than than branch 8,300 locations, 13,000 ATMs, and offices in 42 countries, we have approximately 263,000 team members, and we serve one in three households in the United States. Wells Fargo & Company was ranked No. 25 on Fortune&rsquo;s 2017 rankings of America&rsquo;s largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories."
201,Havells,4.1,(1.1k),Public,Noida + 80 more,62 years old,10000+ employees,"Manufacturing, Electronics, MNC, Fortune500, Public, Noida","Havells India Limited is a leading Fast Moving Electrical Goods (FMEG) Company and a major power distribution equipment manufacturer with a strong global presence. Havells enjoys enviable market dominance across a wide spectrum of products, including Industrial & Domestic Circuit Protection Devices, Cables & Wires, Motors, Fans, Modular Switches, Home Appliances, Air Conditioners, Electric Water Heaters, Power Capacitors, Luminaires for Domestic, Commercial and Industrial Applications."
202,KPIT Technologies,3.5,(1.1k),Private,Pune + 17 more,26 years old,5001-10000 employees,"Computer Software, IT / ITES, MNC, Pune","KPIT creates and delivers distinctive and strong technology solutions and services to automotive & transportation, manufacturing, and energy & utilities corporations. More than 200+ of our global partners, including Original Equipment Manufacturers (OEMs), and Tier 1 companies, are becoming more efficient, integrated and innovative enterprises by using KPIT’s viable and high quality solutions. We partner with our customers to co-create transformational value that provides sustainable, competitive advantage to their businesses. Our highly focused approach has helped us pioneer innovative solutions, and file 50 patents in the automotive domain. KPIT is among the top partners for Oracle and SAP, with award-winning, recognized expertise. 8,800+ employees | 7 development centers | 31 offices in 15 countries | 9 innovation awards"
203,Alembic Pharmaceut...,4.1,(1.1k),Public,Vadodara + 81 more,113 years old,10000+ employees,"Healthcare / Pharma, Fortune500, Public, Vadodara","Established in 1907, Alembic Pharmaceuticals Limited is a leading pharmaceutical company in India. The Company is vertically integrated with the ability to develop, manufacture and market pharmaceutical products, pharmaceutical substances and Intermediates. Alembic is the market leader in the Macrolides segment of anti-infective drugs in India.
Alembic's manufacturing facilities are located in Vadodara and Baddi in Himachal Pradesh. The plant at Vadodara has the largest fermentation capacity in India. The Panelav facility houses the API and formulation manufacturing (both US FDA approved) plants. The plant at Baddi, Himachal Pradesh manufactures formulations for the domestic and non-regulated export market. The company has a state of the art Research Centre at Vadodara."
204,G4S,4.2,(1.1k),Private,London + 72 more,119 years old,10000+ employees,"Law Enforcement / Security Services, MNC","G4S is the leading global, integrated security company, specialising in the provision of security services and solutions to customers. Our mission is to create material, sustainable value for our customers and shareholders by being the supply partner of choice in all our markets.

G4S is quoted on the London Stock Exchange and has a secondary stock exchange listing in Copenhagen. G4S is active in around 90 countries and has over 540,000 employees. For more information on G4S, visit www.g4s.com.

G4S works to safeguard the welfare and prosperity of millions of people worldwide – helping to create safer and better environments in which people live and work."
205,IQVIA,4.0,(1.1k),Partnership,Durham + 25 more,38 years old,10000+ employees,"Healthcare / Pharma, IT / ITES, Forbes Global 2000","IQVIA is the Human Data Science Company™. We are inspired by the industry we serve and provide solutions that enable life sciences companies to innovate with confidence, maximize opportunities and ultimately drive human health outcomes forward. Our approach is Human Data Science – a discipline that advances our understanding of human health and allows stakeholders to make better, more insightful decisions and discover breakthroughs. 

We provide actionable solutions by tapping into the power of the IQVIA CORE™: 
• Domain Expertise. Institutional knowledge and domain expertise across diseases, geographies and scientific methods 
• Advanced Analytics. Faster, more precise decision-making powered by data science, designed exclusively for healthcare 
• Unparalleled Data. One of the world’s largest curated healthcare data sources with innovative privacy protections 
• Transformative Technology. Leading technologies to provide real-time access to operations-critical information. 

To learn more, visit www.IQVIA.com"
206,Bajaj Electricals,4.2,(1.1k),Public,Mumbai + 119 more,82 years old,10000+ employees,"Industrial Equipment / Machinery, Manufacturing, Electronics, Fortune500, Public, Mumbai","Bajaj Electricals Limited (BEL), a globally renowned and trusted company, with a turnover of ₹6,744 crores (FY 18-19), is a part of ""Bajaj Group"". Bajaj Electricals business is spread across – Consumer Products (Appliances, Fans, Lighting), Exports, and EPC (Illumination, Transmission Towers and Power Distribution). Bajaj Electricals has 20 branch offices spread in different parts of the country besides being supported by a chain of distributors, authorised dealers, retail outlets, exclusive showrooms called ‘Bajaj World’ and approximately 500 customer care centres. We also have a presence in premium home appliances and cookware segments with brands like Morphy Richards and Nirlep.

But to know Bajaj Electricals, one must understand our core principles. We get our Gandhian set of values by our founding father - Jamnalal Bajaj. While walking towards the future, our current leaders aim to carry forward his legacy . “Inspiring Trust”, our tagline, is something that we associate with and try to fulfil in our everyday endeavours. Apart from work, we also believe in bringing about a change in our society through our philanthropic work. Our Corporate Social Responsibility (CSR) division strongly rests on sustainability, gender diversity, employee volunteering and community outreach programmes."
207,Jindal Steel and P...,4.1,(1.1k),Private,New Delhi + 64 more,68 years old,10000+ employees,"Iron & Steel, Manufacturing, Power, Conglomerate, Fortune500, New Delhi","JSPL is an industrial powerhouse with a dominant presence in steel, power, mining and infrastructure sectors. Part of the US $ 22 billion OP Jindal Group, the Company is continuously scaling its capacity utilisations and efficiencies to capture opportunities for Building A Nation of Our Dreams."
208,Deutsche bank,4.1,(1.1k),Private,Frankfort + 23 more,150 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Fortune500, Forbes Global 2000","Deutsche Bank is a leading global investment bank with a strong and profitable private clients franchise. A leader in Germany and Europe, the Bank is continuously growing in North America, Asia and key emerging markets. With more than 78,000 employees in over 70 countries worldwide, Deutsche Bank offers unparalleled financial services throughout the world. The Bank competes to be the leading global provider of financial solutions for demanding clients creating exceptional value for its shareholders and people."
209,ACC,4.2,(1.1k),Public,Mumbai + 106 more,84 years old,10000+ employees,"Engineering & Construction, Fortune500, Public, Mumbai","As one of the foremost companies in the Indian cement and concrete industry, we at ACC are driven by the inherent need of providing products and solutions that will create the new economic, social and institutional infrastructure in one of the fastest growing economies of the world."
210,American Express,4.2,(1.1k),Public,New York + 29 more,170 years old,10000+ employees,"Financial Services, MNC, Forbes Global 2000","American Express is a global services company, providing customers with exceptional access to products, insights and experiences that enrich lives and build business success.
Each day, American Express makes it easier, safer and more rewarding for consumers and businesses to purchase the things they need and for merchants to sell their goods and services. An engine of commerce, American Express provides innovative payment, travel and expense management solutions for individuals and businesses of all sizes. Most of all, we help our customers realize their dreams and aspirations through industry-leading benefits, access to unique experiences, business-building insights, and global customer care. We enable our customers to do and achieve more."
